Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Centro;1;0;0;21;750.0;269.0;24.0
Estácio;1;1;0;36;750.0;342.0;65.33333333333333
Grajaú;1;1;0;50;1100.0;500.0;25.0
Campo Grande;1;0;0;50;550.0;1750.0;602.0
Méier;1;0;0;33;890.0;250.0;13.0
Senador Vasconcelos;1;1;0;40;690.0;2580.0;613.3333333333333
Jardim Sulacap;1;1;0;45;850.0;70.0;147.5
Vila Isabel;1;0;0;50;1000.0;325.0;34.0
Todos os Santos;1;0;0;40;900.0;675.0;34.0
Glória;1;0;0;30;1100.0;348.0;13.0
Centro;1;0;0;40;1000.0;438.0;21.0
Ilha do Governador;1;0;0;71;1000.0;1300.0;398.25
Vila Isabel;1;0;0;36;1050.0;385.0;31.5
Copacabana;1;0;0;35;1000.0;410.0;57.0
Centro;1;0;0;45;1000.0;350.0;23.0
Flamengo;1;0;0;15;900.0;401.0;23.0
Tijuca;1;1;0;60;1050.0;695.0;20.0
Méier;1;0;0;32;900.0;180.0;215.0
Madureira;1;1;0;50;650.0;450.0;2326.6666666666665
Barra da Tijuca;1;0;0;38;1000.0;410.0;15.0
Bonsucesso;1;0;0;62;800.0;270.0;525.0
Vila Isabel;1;0;1;45;1100.0;500.0;24.0
Riachuelo;1;0;0;53;1000.0;217.0;1043.6
Engenho Novo;1;1;0;40;1150.0;310.0;784.8
Centro;1;0;0;38;1000.0;335.0;175.0
Praça Seca;1;1;0;40;1000.0;270.0;179.0
Tijuca;1;1;0;40;1100.0;500.0;20.0
Centro;1;0;0;20;800.0;430.0;38.0
Santa Teresa;1;0;0;25;750.0;400.0;130.5
Jacarepaguá;1;1;0;56;600.0;692.0;263.5
Tijuca;1;0;0;30;1000.0;420.0;21.0
Campo Grande;1;1;0;40;500.0;200.0;742.5
Catete;1;0;0;24;1100.0;435.0;225.0
Riachuelo;1;0;0;46;900.0;253.0;17.0
Méier;1;0;0;45;1000.0;1320.0;6100.0
Flamengo;1;0;0;31;1000.0;394.0;24.0
Moneró;1;0;0;55;1000.0;350.0;18.0
Inhaúma;1;0;0;45;750.0;2222.5;229.33333333333334
Pedra de Guaratiba;1;0;0;42;460.0;1155.5;426.5
Centro;1;0;0;31;850.0;560.0;115.0
